feature,importance
volatility_10d,0.17728236198667457
atr_pct,0.12950230695319195
momentum_10d,0.12829772999898945
sma_21,0.09949294237538107
sma_7,0.0852699507684778
rsi_14,0.07697572829408683
bb_width,0.06864628404216595
price_range,0.06754926274469608
sma_50,0.05433902523229344
volatility_21d,0.049785206448302595
momentum_21d,0.04488002957561175
momentum_5d,0.042555796907335956
bb_pct_b,0.03800629688751004
is_bullish,0.03390298138841072
ema_14,0.03321376845509568
macd,0.030549667867699092
ema_21,0.03037107991059742
log_return,0.028228510113349356
macd_signal,0.026116653145481453
body_size,0.022771360598730417
macd_hist,0.021890384720228275
volatility_5d,0.01178747078750796
daily_return,0.007789569075554785
volume_ratio,0.0007161296919791773
