date,ticker,open,high,low,close,volume,asset_type
2022-01-03,AAPL,149.23,151.95,148.78,151.39,110859101,stock
2022-01-04,AAPL,148.85,151.24,148.54,151.06,108687555,stock
2022-01-05,AAPL,153.99,155.1,151.72,152.88,75211802,stock
2022-01-06,AAPL,158.64,159.46,155.82,157.18,76085083,stock
2022-01-07,AAPL,158.05,158.3,156.1,156.56,87213450,stock
2022-01-10,AAPL,154.63,156.24,153.93,155.95,58397294,stock
2022-01-11,AAPL,158.06,161.67,156.17,160.49,157153239,stock
2022-01-12,AAPL,160.97,163.11,160.01,162.78,144295678,stock
2022-01-13,AAPL,163.52,166.08,160.01,161.45,103762649,stock
2022-01-14,AAPL,161.11,164.31,159.25,163.09,138039038,stock
2022-01-17,AAPL,159.28,163.28,157.96,161.78,77936993,stock
2022-01-18,AAPL,159.15,161.94,157.99,160.48,75339470,stock
2022-01-19,AAPL,162.78,163.08,160.19,161.23,156738084,stock
2022-01-20,AAPL,153.38,157.08,152.49,155.82,146238212,stock
2022-01-21,AAPL,151.09,151.89,150.47,151.1,66916891,stock
2022-01-24,AAPL,150.94,151.38,149.06,149.62,108110346,stock
2022-01-25,AAPL,146.23,148.66,145.71,146.96,118492519,stock
2022-01-26,AAPL,149.76,150.44,147.15,147.84,146675876,stock
2022-01-27,AAPL,144.88,146.64,143.9,145.49,85392439,stock
2022-01-28,AAPL,144.14,145.31,141.42,141.88,179517822,stock
2022-01-31,AAPL,147.12,148.1,144.82,145.71,73082384,stock
2022-02-01,AAPL,146.33,146.61,144.81,145.17,164294329,stock
2022-02-02,AAPL,143.33,146.44,142.01,145.39,127231047,stock
2022-02-03,AAPL,141.11,142.01,140.34,141.75,191570804,stock
2022-02-04,AAPL,140.91,142.3,139.73,140.41,107092554,stock
2022-02-07,AAPL,142.29,143.26,139.75,140.73,139629168,stock
2022-02-08,AAPL,139.04,139.48,137.38,137.89,135299848,stock
2022-02-09,AAPL,139.66,140.25,138.66,138.86,135530604,stock
2022-02-10,AAPL,139.71,141.25,136.1,137.41,162246170,stock
2022-02-11,AAPL,136.24,138.1,135.31,136.73,196903120,stock
